Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI,,,,,
1.3,86.92621613,67.3125,103.30625,111.5,111.5562477,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.31,86.92621613,67.3125,103.29375,111.5,108.578125,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.32,86.92621613,67.3125,102.71875,111.5,105.5750008,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.33,86.92621613,67.3125,101.05,111.5,104.03125,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.34,86.92621613,67.3125,99.853125,111.5,104.015625,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.35,86.92621613,67.3125,98.68125,111.5,105.4468765,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.36,86.92621613,67.3125,96.728125,111.5,108.4249992,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.37,86.92621613,67.3125,93.66875,111.5,110.4375,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.38,86.92621613,67.3125,91.315625,111.5,112.9312515,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.39,86.92621613,67.3125,88.8375,111.5,115.0093765,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.4,86.92621613,67.3125,87.975,111.5,115.0031281,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.41,86.92621613,67.3125,89.175,111.5,115.0093765,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.42,86.92621613,67.3125,91.0125,111.5,114.5374985,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.43,86.92621613,67.3125,93.98125,111.5,112.5437508,86.92621613,143,105,90.00624847,75.00624847,0.508333385,,,,,
1.44,86.92621613,67.3125,97.034375,111.5,110.5375023,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.45,86.92621613,67.3125,98.909375,111.5,108.5281258,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.46,86.92621613,67.3125,98.8875,111.5,106.0406227,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.47,86.92621613,67.3125,97.875,111.5,103.5999985,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.48,86.92621613,67.3125,95.003125,111.5,101.5593758,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.49,86.92621613,67.3125,92.575,111.5,99.53437424,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.5,86.92621613,67.3125,90.7375,111.5,98.01250076,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.51,86.92621613,67.3125,88.890625,111.5,97.02500153,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.52,86.92621613,67.3125,86.45,111.5,97.01250076,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.53,86.92621613,67.3125,84.346875,111.5,96.02500153,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.54,86.92621613,67.3125,84.28125,111.5,96.01250076,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.55,86.92621613,67.3125,84.90625,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.56,86.92621613,67.3125,85.790625,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.57,86.92621613,67.3125,84.815625,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.58,86.92621613,67.3125,83.125,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.59,86.92621613,67.3125,82.234375,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.6,86.92621613,67.3125,81.61875,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.61,86.92621613,67.3125,82.328125,111.5,96,86.92621613,143.0062561,105.0062485,90.00624847,75.00624847,0.508333385,,,,,
1.62,86.92621613,67.3125,83.246875,111.5,96,86.92621613,143.0031281,105.0062485,90.00624847,75.00312424,0.508333385,,,,,
