Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
1.36,65.8409,52.5,58.7094,91.75,118.0063,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.37,65.8409,52.5,64.475,91.75,120,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.38,65.8409,52.5,67.7625,91.75,121.0594,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.39,65.8409,52.5,70.1781,91.75,120.0219,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.4,65.8409,52.5,70.4688,91.75,118.7969,65.8409,142,102.0062,92.0062,66.0062,0.5961
1.41,57.5114,44.6563,70.2313,89.6563,116.8688,57.5114,142,102.0062,92.0062,66.0062,0.7825
1.42,57.5114,44.6563,70.0313,89.6563,113.1938,57.5114,142,102.0062,92.0062,66.0062,0.7825
1.43,57.5114,44.6563,70.0344,89.6563,110.8531,57.5114,142,102.0062,92.0062,66.0062,0.7825
1.44,57.5114,44.6563,69.7906,89.6563,108.025,57.5114,142,102.0062,92.0062,66.0062,0.7825
1.45,57.5114,44.6563,68.0969,89.6563,105.2406,57.5114,142,102.0031,92.0062,66.0062,0.7825
1.46,57.5114,44.6563,65.3156,89.6563,103.0906,57.5114,142,102,92.0062,66.0062,0.7825
1.47,57.5114,44.6563,63.2031,89.6563,100.4313,57.5114,142,102,92.0062,66.0062,0.7825
1.48,57.5114,44.6563,61.9688,89.6563,99.0781,57.5114,142,102,92.0062,66.0062,0.7825
1.49,57.5114,44.6563,60.5969,89.6563,96.9875,57.5114,142,102,92.0062,66.0062,0.7825
1.5,57.5114,44.6563,59.8,89.6563,95.775,57.5114,142,102,92.0062,66.0062,0.7825
1.51,57.5114,44.6563,58.2813,89.6563,94.7656,57.5114,142,102,92.0062,66.0062,0.7825
1.52,57.5114,44.6563,56.8687,89.6563,93.7656,57.5114,142,102,92.0062,66.0062,0.7825
1.53,57.5114,44.6563,56.7938,89.6563,92.7906,57.5114,142,102,92.0062,66.0062,0.7825
1.54,57.5114,44.6563,57.3906,89.6563,92.1906,57.5114,142,102,92.0062,66.0062,0.7825
1.55,57.5114,44.6563,58.3813,89.6563,92.2719,57.5114,142,102,92.0062,66.0062,0.7825
1.56,57.5114,44.6563,60.4344,89.6563,92.2375,57.5114,142,102,92.0062,66.0062,0.7825
1.57,57.5114,44.6563,62.5531,89.6563,92.2687,57.5114,142,102,92.0062,66.0062,0.7825
1.58,57.5114,44.6563,62.5469,89.6563,92.2,57.5114,142,102,92.0062,66.0062,0.7825
1.59,57.5114,44.6563,59.3813,89.6563,93.0438,57.5114,142,102,92.0062,66.0062,0.7825
1.6,57.5114,44.6563,55.7531,89.6563,93.0031,57.5114,142,102,92.0062,66.0062,0.7825
1.61,57.5114,44.6563,53.9344,89.6563,92.9656,57.5114,142,102,92.0062,66.0062,0.7825
1.62,57.5114,44.6563,53.175,89.6563,93.7875,57.5114,142,102,92.0062,66.0062,0.7825
1.63,57.5114,44.6563,52.6812,89.6563,94.0063,57.5114,142,102,92.0062,66.0062,0.7825
1.64,57.5114,44.6563,52.2062,89.6563,94.1906,57.5114,142,102,92.0062,66.0062,0.7825
1.65,57.5114,44.6563,52.3312,89.6563,95.0562,57.5114,142,102,92.0062,66.0062,0.7825
1.66,57.5114,44.6563,52.9281,89.6563,95.1906,57.5114,142,102,92.0062,66.0062,0.7825
1.67,57.5114,44.6563,53.1812,89.6563,95.9906,57.5114,142.0063,102,92,66,0.7825
1.68,57.5114,44.6563,53.1875,89.6563,96.5656,57.5114,142.0063,102,92,66,0.7825
1.69,57.5114,44.6563,53.3125,89.6563,96.7375,57.5114,142.0063,102,92,66,0.7825
1.7,57.5114,44.6563,53.9312,89.6563,96.9938,57.5114,142.0063,102,92,66,0.7825
1.71,57.5114,44.6563,53.8031,89.6563,96.9531,57.5114,142.0063,102,92,66,0.7825
1.72,57.5114,44.6563,53.2062,89.6563,97.6,57.5114,142.0063,102,92,66,0.7825
1.73,57.5114,44.6563,52.6875,89.6563,96.9531,57.5114,142.0063,102,92,66,0.7825
1.74,57.5114,44.6563,53.0313,89.6563,96.9906,57.5114,142.0063,102,92,66,0.7825
1.75,57.5114,44.6563,53.1938,89.6563,96.8031,57.5114,142.0063,102,92,66,0.7825
1.76,57.5114,44.6563,53.2125,89.6563,95.775,57.5114,142.0063,102,92,66,0.7825
1.77,57.5114,44.6563,53.2125,89.6563,95.0031,57.5114,142.0063,102,92,66,0.7825
1.78,57.5114,44.6563,53.1969,89.6563,94.2437,57.5114,142.0063,102,92,66,0.7825
1.79,57.5114,44.6563,53.2094,89.6563,93.0531,57.5114,142.0063,102,92,66,0.7825
1.8,57.5114,44.6563,53.2062,89.6563,92.1844,57.5114,142.0063,102,92,66,0.7825
1.81,57.5114,44.6563,52.9969,89.6563,92.0562,57.5114,142.0063,102,92,66,0.7825
1.82,57.5114,44.6563,51.9906,89.6563,90.7844,57.5114,142.0063,102,92,66,0.7825
1.83,57.5114,44.6563,51.4094,89.6563,90,57.5114,142.0063,102,92,66,0.7825
1.84,57.5114,44.6563,50.8188,89.6563,89.2188,57.5114,142.0063,102,92,66,0.7825
1.85,57.5114,44.6563,49.6437,89.6563,89.0125,57.5114,142.0063,102,92,66,0.7825
1.86,57.5114,44.6563,48.7469,89.6563,89.0375,57.5114,142.0063,102,92,66,0.7825
